	observed_otus
1788.mck409Post.3Osse.5	79
1788.mck497Post.5Rapi.6	54
1788.mck175Pre.4Rapi.5	121
1788.mck553Post.6Rapi.9	56
1788.mck773Post.10Buma.11	136
1788.mck15Pre.1Buma.5	102
1788.mck577Post.6Control.Crickets	271
1788.mck561Post.6Bubo.5	66
1788.mck280Post.1Rapi.4	37
1788.mck78Pre.2Bubo.2	55
1788.mck8Pre.1Raca.8	63
1788.mck662Post.8Rapi.6	107
1788.mck67Pre.2Rapi.3	73
1788.mck272Post.1Buma.7	94
1788.mck25Pre.1Rapi.4	125
1788.mck64Pre.2Buma.11	144
1788.mck408Post.3Osse.4	62
1788.mck723Post.9Bubo.3	97
1788.mck640Post.8Raca.5	133
1788.mck333Post.2Rapi.4	87
1788.mck74Pre.2Rapi.10	79
1788.mck552Post.6Rapi.8	125
1788.mck364Post.3Raca.3	99
1788.mck491Post.5Buma.11	134
1788.mck529Post.6Raca.6	71
1788.mck168Pre.4Buma.12	149
1788.mck490Post.5Buma.10	124
1788.mck724Post.9Bubo.4	84
1788.mck104Pre.3Raca.8	102
1788.mck541Post.6Buma.8	114
1788.mck420Post.4Raca.3	91
1788.mck193Pre.3Osse.1	72
1788.mck584Post.7Raca.5	147
1788.mck717Post.9Rapi.9	103
1788.mck704Post.9Buma.7	92
1788.mck731Post.9Osse.2	364
1788.mck142Pre.2Osse.3	84
1788.mck725Post.9Bubo.5	71
1788.mck41Pre.1Bubo.8	83
1788.mck755Post.10Raca.3	198
1788.mck273Post.1Buma.8	115
1788.mck726Post.9Bubo.6	47
1788.mck248Pre.4Osse.3	115
1788.mck425Post.4Raca.8	177
1788.mck493Post.5Rapi.2	32
1788.mck358Post.2Osse.7	192
1788.mck429Post.4Buma.2	110
1788.mck158Pre.4Raca.11	171
1788.mck232Pre.5Rapi.9	213
1788.mck62Pre.2Buma.10	171
1788.mck798Post.10Osse.5	121
1788.mck567Post.6Osse.1	146
1788.mck479Post.5Raca.9	92
1788.mck586Post.7Raca.7	185
1788.mck643Post.8Raca.8	131
1788.mck159Pre.4Raca.10	149
1788.mck478Post.5Raca.8	54
1788.mck500Post.5Rapi.9	82
1788.mck211Pre.5Raca.12	143
1788.mck125Pre.3Rapi.8	70
1788.mck246Pre.4Osse.1	144
